34110, Barangay Mabuhay, Municipal Hall, office
34111, Barangay Mabuhay, Municipal Hall, council room
34112, Barangay Mabuhay, Barangay Hall, office
34113, Barangay Mabuhay, Barangay Hall, session hall
34114, Barangay Mabuhay, Audit Office, office
34115, Barangay Mabuhay, Police Station, station
34116, Barangay Mabuhay, School, classroom
34117, Barangay Mabuhay, School, library
34118, Barangay Mabuhay, Church, chapel
34119, Barangay Mabuhay, Residential Zone A, home
34120, Barangay Mabuhay, Farm Area, field
34121, Barangay Mabuhay, Public Market, stall
34122, Barangay Mabuhay, Media Office, newsroom
34123, Barangay Mabuhay, Health Center, clinic
34124, Barangay Mabuhay, Contractor Office, office
34125, Barangay Mabuhay, Residential Zone B, home
34126, Barangay Mabuhay, Residential Zone C, home
34127, Barangay Mabuhay, Plaza, park
