34010, Barangay Mabuhay, Municipal Hall
34011, Barangay Mabuhay, Barangay Hall
34012, Barangay Mabuhay, Audit Office
34013, Barangay Mabuhay, Police Station
34014, Barangay Mabuhay, School
34015, Barangay Mabuhay, Church
34016, Barangay Mabuhay, Residential Zone A
34017, Barangay Mabuhay, Farm Area
34018, Barangay Mabuhay, Public Market
34019, Barangay Mabuhay, Media Office
34020, Barangay Mabuhay, Health Center
34021, Barangay Mabuhay, Contractor Office
34022, Barangay Mabuhay, Residential Zone B
34023, Barangay Mabuhay, Residential Zone C
34024, Barangay Mabuhay, Plaza
