0,Barangay Mabuhay,Residential A,Normal Road,sp-A
1,Barangay Mabuhay,Residential B,Normal Road,sp-A
2,Barangay Mabuhay,Residential C,Normal Road,sp-A
3,Barangay Mabuhay,Market,Central Market,sp-A
4,Barangay Mabuhay,Municipal Hall,Lobby,sp-A
5,Barangay Mabuhay,Barangay Hall,Waiting Area,sp-A
6,Barangay Mabuhay,School,Classroom,sp-A
7,Barangay Mabuhay,Health Center,Pharmacy,sp-A
8,Barangay Mabuhay,Construction Site,Cement Mixing Area,sp-A
9,Barangay Mabuhay,Factory Zone,Loading Dock,sp-A
10,Barangay Mabuhay,Police Station,Reception Desk,sp-A
11,Barangay Mabuhay,Media CSO Node,Office Cubicles,sp-A
12,Barangay Mabuhay,Road Network,Normal Road,sp-A
13,Barangay Mabuhay,Road Network,Central Plaza,sp-A
